"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
248 591826.1824 5297843.22 4 25 41 34 5.54 28.7 3.0999999 0 75.8 13.6 "acidic"
249 588918.821 5367823.351 22 24 45 31 7.53 32.5 2.9000001 69.9 352.7 19.9 "alkaline"
250 589102.2485 5353824.469 5 14 38 48 6.45 13.6 1.5 31.7 116.6 10 "acidic"
251 589802.7404 5299816.911 9 21 34 45 5.53 29.4 2.8 41 196.4 12.6 "acidic"
252 590085.41 5277811.671 6 24 36 41 6.03 25.4 2.8 12.8 214.5 13.5 "acidic"
253 587467.5148 5325795.627 11 15 60 25 6.08 11.2 1.3 64 200.6 9.7 "acidic"
254 587701.3888 5307794.227 13 32 35 33 6.33 43.2 4.1999998 25.3 123.7 26.5 "acidic"
255 576980.3489 5363668.371 14 33 47 20 7.47 22.6 2.7 29.3 336.1 27.4 "neutral"
256 574153.7869 5273606.486 6 22 47 31 5.34 30.7 3.4000001 69.1 142.8 10.6 "acidic"
257 566189.3294 5271503.223 16 26 42 32 5.67 49.1 4.8000002 27.2 95.2 18.8 "acidic"
258 560168.7905 5273426.471 7 25 41 34 5.85 31.4 3.4000001 29.4 71 15.8 "acidic"
259 848381.1016 5411014.339 23 11 28 62 6.36 17.8 1.3 12.2 46 7.1 "acidic"
260 840423.979 5406920.523 5 20 42 38 5.22 32.5 3 19.1 153.9 8.9 "acidic"
261 838498.0663 5400888.686 38 4 27 69 4.73 27.3 1.4 36.8 88.7 4.4 "acidic"
262 830191.3319 5424818.234 20 24 40 36 5.49 40.2 3.3 0 64.5 7.6 "acidic"
263 828515.5912 5402761.07 7 12 27 61 5.27 17.9 1.5 80.9 145.3 8.7 "acidic"
